goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
﻿3048710,87087162,style,프라하의봄,"세일할때 저렴하게 잘샀어요, 배송도 빠르네요 ㅋ꿋",5.0,False,MEDIUM,179.0,74.0,missing,2026-08-26 16:31:04,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,travel,하의,MEDIUM,,2026,8,26,수,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,"세일할때 저렴하게 잘샀어요, 배송도 빠르네요 ㅋ꿋",세일할때저렴하게잘샀어요배송도빠르네요꿋,1,0,0,0,0,False,27,20,27,True,프라하의봄,"('MEDIUM', None)",1,True,1,keep,unique,True,87087162
﻿3455892,87095390,style,뜨거운종로커플룩,얇고 가벼운 느낌이 들고 오버핏이 가장 좋앗던 부분입니다,5.0,False,M,176.0,72.0,남성,2026-08-23 18:04:05,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 나쁨 / 두께감: 매우 얇음,True,0,filluminate,아우터,M,,2026,8,23,일,5,응답,조금 큼,화면과 비슷,매우 나쁨,,매우 얇음,,,1.0,,,1.0,,1.0,1.0,0.0,0.0,얇고 가벼운 느낌이 들고 오버핏이 가장 좋앗던 부분입니다,얇고가벼운느낌이들고오버핏이가장좋앗던부분입니다,0,0,0,0,0,False,31,24,31,True,뜨거운종로커플룩,"('M', None)",0,False,1,keep,unique,True,87095390
6708096,87096689,general,MoveGreen,언제나 믿는 브렌드 필루미네이트입니다. 심플하게 입고 다니기 좋아요.,5.0,False,CHARCOAL · L,174.0,75.0,남성,2026-08-23 19:23:14,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 얇음 / 신축성: 적당함,True,0,filluminate,상의,L,CHARCOAL,2026,8,23,일,5,응답,정사이즈,화면과 비슷,,,얇음,적당함,,,,3.0,2.0,,0.0,0.0,0.0,0.0,언제나 믿는 브렌드 필루미네이트입니다. 심플하게 입고 다니기 좋아요.,언제나믿는브렌드필루미네이트입니다심플하게입고다니기좋아요,0,0,0,0,0,False,38,29,38,True,MoveGreen,"('L', 'CHARCOAL')",0,False,1,keep,unique,True,87096689
3132891,87101415,style,자유세상,빈티지스럽고 너무 예뻐요  핏도 박시해서 스타일리쉬합니다,3.0,False,EXTRA LARGE,170.0,85.0,남성,2026-08-23 23:12:44,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,EXTRA LARGE,,2026,8,23,일,3,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,빈티지스럽고 너무 예뻐요 핏도 박시해서 스타일리쉬합니다,빈티지스럽고너무예뻐요핏도박시해서스타일리쉬합니다,0,0,0,0,0,False,31,25,30,True,자유세상,"('EXTRA LARGE', None)",0,False,1,keep,unique,True,87101415
1884943,87101703,style,가치있는합정단화,옷 깔끔하니 편하게 입기 좋은거 같습니다 좋네요,4.0,False,EXTRA LARGE,169.0,79.0,남성,2026-08-23 23:24:18,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,EXTRA LARGE,,2026,8,23,일,4,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,옷 깔끔하니 편하게 입기 좋은거 같습니다 좋네요,옷깔끔하니편하게입기좋은거같습니다좋네요,0,0,0,0,0,False,26,20,26,True,가치있는합정단화,"('EXTRA LARGE', None)",0,False,1,keep,unique,True,87101703
4969807,87102629,general,닉의이름은닉넴,연한 청색이라 평범함. 허리밴딩이라 편함. 두께는 가을정도에 입기 좋음. 기장은 다른 청바지들처럼 어이없게 길지 않고 적당함.,5.0,False,LIGHT BLUE · M,170.0,60.0,남성,2026-08-24 00:19:05,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 신축성: 강함,True,0,filluminate,하의,M,LIGHT BLUE,2026,8,24,월,5,응답,정사이즈,화면과 비슷,매우 좋음,,,강함,,5.0,,4.0,,,0.0,0.0,0.0,0.0,연한 청색이라 평범함. 허리밴딩이라 편함. 두께는 가을정도에 입기 좋음. 기장은 다른 청바지들처럼 어이없게 길지 않고 적당함.,연한청색이라평범함허리밴딩이라편함두께는가을정도에입기좋음기장은다른청바지들처럼어이없게길지않고적당함,0,0,0,0,0,False,70,51,70,True,닉의이름은닉넴,"('M', 'LIGHT BLUE')",0,False,1,keep,unique,True,87102629
﻿3399784,87103926,style,인스턴트,"피그먼트 느낌의 티셔츠일 거라고 생각했는데, 생각보다 바랜 듯한 느낌은 거의 없고 훨씬 더 색상이 선명한 느낌이에요. 핏이나 원단은 마음에 들어요",4.0,False,LARGE,169.0,58.0,여성,2026-08-24 03:30:06,사이즈: 조금 큼 / 화면 대비 색감: 어두움 / 두께감: 적당함 / 신축성: 적당함,True,0,travel,상의,LARGE,,2026,8,24,월,4,응답,조금 큼,어두움,,,적당함,적당함,,,,3.0,3.0,,1.0,1.0,-1.0,1.0,"피그먼트 느낌의 티셔츠일 거라고 생각했는데, 생각보다 바랜 듯한 느낌은 거의 없고 훨씬 더 색상이 선명한 느낌이에요. 핏이나 원단은 마음에 들어요",피그먼트느낌의티셔츠일거라고생각했는데생각보다바랜듯한느낌은거의없고훨씬더색상이선명한느낌이에요핏이나원단은마음에들어요,0,0,0,0,0,False,81,60,81,True,인스턴트,"('LARGE', None)",0,False,1,keep,unique,True,87103926
6493132,87104082,general,느긋한헝가리핀,이뻐요 팔도 잘 잡아주고 길이도 좋고 이번 여름에 산 반팔중 1등,5.0,False,MELANGE GREY · M,173.0,67.0,남성,2026-08-24 04:31:33,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,M,MELANGE GREY,2026,8,24,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,이뻐요 팔도 잘 잡아주고 길이도 좋고 이번 여름에 산 반팔중 1등,이뻐요팔도잘잡아주고길이도좋고이번여름에산반팔중1등,0,0,0,0,0,False,36,25,36,True,느긋한헝가리핀,"('M', 'MELANGE GREY')",0,False,2,keep,multi_type_unique,True,87104082
6493132,87104083,style,느긋한헝가리핀,좋아요 팔도 잘 잡아주고 이번 여름에 산 반팔중 1등,5.0,False,MELANGE GREY · M,173.0,67.0,남성,2026-08-24 04:32:04,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,M,MELANGE GREY,2026,8,24,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,,3.0,3.0,,0.0,0.0,0.0,0.0,좋아요 팔도 잘 잡아주고 이번 여름에 산 반팔중 1등,좋아요팔도잘잡아주고이번여름에산반팔중1등,0,0,0,0,0,False,29,20,29,True,느긋한헝가리핀,"('M', 'MELANGE GREY')",0,False,2,keep,multi_type_unique,True,87104083
3791891,87107492,general,희망찬대전투버튼,배송이 빨리 오고 사이즈도 적당해서 좋았습니다,4.0,False,XL,193.0,80.0,남성,2026-08-24 11:54:33,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,filluminate,상의,XL,,2026,8,24,월,4,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,배송이 빨리 오고 사이즈도 적당해서 좋았습니다,배송이빨리오고사이즈도적당해서좋았습니다,0,0,0,0,0,False,25,20,25,True,희망찬대전투버튼,"('XL', None)",0,False,1,keep,unique,True,87107492
3791988,87107800,general,불쌍한닝겐,핏이 너무 예쁘고 만족합니다 무조건 구매하세요,5.0,False,L,174.0,63.0,남성,2026-08-24 12:08:13,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,False,0,filluminate,하의,L,,2026,8,24,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,핏이 너무 예쁘고 만족합니다 무조건 구매하세요,핏이너무예쁘고만족합니다무조건구매하세요,0,0,0,0,0,False,25,20,25,True,불쌍한닝겐,"('L', None)",0,False,1,keep,unique,True,87107800
